Player,Age,Position,CM,KG,Start,Sub,Mins,Goals,Assists,G+A,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
M.El Haddadi,28,Forward,175,69,8,7,825,3,2,5,0,0,1.1,78.7,0.4,0,6.74,Barcelona,2015/2016,MAR,Morocco
M.El Haddadi,28,Forward,175,69,0,1,20,0,0,0,0,0,0,100,0,0,6.15,Barcelona,2016/2017,MAR,Morocco
M.El Haddadi,28,Forward,175,69,22,11,2036,6,3,9,3,1,1.4,79.3,0.7,2,6.7,Valencia,2016/2017,MAR,Morocco
M.El Haddadi,28,Forward,175,69,28,5,2458,10,6,16,7,1,1.9,70.9,1.2,2,6.81,Deportivo Alaves,2017/2018,MAR,Morocco
M.El Haddadi,28,Forward,175,69,1,6,148,1,1,2,0,0,0.6,77.6,0.1,0,6.43,Barcelona,2018/2019,MAR,Morocco
M.El Haddadi,28,Forward,175,69,12,4,1045,5,1,6,2,0,2.1,74.2,1.1,1,6.8,Sevilla,2018/2019,MAR,Morocco
M.El Haddadi,28,Forward,175,69,14,7,1256,5,2,7,1,0,2.1,79,1.1,3,6.95,Sevilla,2019/2020,MAR,Morocco
M.El Haddadi,28,Forward,175,69,9,15,839,4,2,6,2,0,1.3,82.4,0.4,0,6.53,Sevilla,2020/2021,MAR,Morocco
M.El Haddadi,28,Forward,175,69,5,12,471,2,0,2,3,0,0.7,79,0.5,0,6.33,Sevilla,2021/2022,MAR,Morocco
M.El Haddadi,28,Forward,175,69,10,18,1149,3,1,4,4,0,1.1,69.4,1,0,6.43,Getafe,2022/2023,MAR,Morocco
M.El Hamdaoui,39,Forward,183,79,6,7,544,3,2,5,0,0,1,75.3,0.5,1,6.44,Malaga,2013/2014,MAR,Morocco
M.Essien,41,Defender,183,78,19,2,1693,2,0,2,4,0,0.5,88.5,1,1,6.98,Real Madrid,2012/2013,GHA,Ghana
M.Fall,21,Defender,188,74,0,1,29,0,0,0,0,0,0,70,0,0,6.21,Villarreal,2022/2023,SEN,Senegal
M.Fatau,31,Defender,180,74,6,3,497,0,0,0,1,0,0.9,83.9,1,0,6.53,Granada,2013/2014,GHA,Ghana
M.Fatau,31,Defender,180,74,9,1,706,0,0,0,4,0,0.8,87.1,1.6,0,6.55,Rayo Vallecano,2014/2015,GHA,Ghana
M.Fedor,38,Forward,185,91,24,7,2195,7,3,10,6,0,1.3,72.2,1.3,0,6.67,Getafe,2010/2011,VEN,Venezuela
M.Fedor,38,Forward,185,91,33,5,2929,12,2,14,4,1,1.6,69,1.6,2,6.72,Getafe,2011/2012,VEN,Venezuela
